property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
ROOST Hotel and Restaurant,https://www.booking.com/hotel/pk/roost-and-restaurant.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1458970901_417207545_1_42_0%2C1458970901_417207545_1_42_0&highlighted_blocks=1458970901_417207545_1_42_0%2C1458970901_417207545_1_42_0&matching_block_id=1458970901_417207545_1_42_0&sr_pri_blocks=1458970901_417207545_1_42_0__300000%2C1458970901_417207545_1_42_0__300000&from=searchresults,6000,10,1.0,Bāgh,2.2,Single Room with Private Bathroom,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/719151396.webp?k=0060e024480e02a0c811c1b8686d2f5be70de57e517a0ce01eb6e8d5cb5da77a&o=,14,Bagh
Aljohar rest house,https://www.booking.com/hotel/pk/aljohar-rest-house-skardu.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1661971402_438140241_12_2_0&highlighted_blocks=1661971402_438140241_12_2_0&matching_block_id=1661971402_438140241_12_2_0&sr_pri_blocks=1661971402_438140241_12_2_0__1800000&from=searchresults,18000,,,Chitra,6.4,Double Room,6 double beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/880191994.webp?k=26cc0cdf09ea2e9ed79024561e219817cb0c8255472c709682f3357906beb2a6&o=,4,Bagh
Hotel popeyes and restaurant,https://www.booking.com/hotel/pk/popeyes-and-restaurant.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1449608402_416333719_2_0_0&highlighted_blocks=1449608402_416333719_2_0_0&matching_block_id=1449608402_416333719_2_0_0&sr_pri_blocks=1449608402_416333719_2_0_0__600000&from=searchresults,6000,,,Chitra,6.4,Small Double Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/706615034.webp?k=08eaa76957111be7c5a81543c3136369674a1a9a6c15a9843da6601777f8c278&o=,10,Bagh
house 1,https://www.booking.com/hotel/pk/house-1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1372511101_409430379_2_0_0&highlighted_blocks=1372511101_409430379_2_0_0&matching_block_id=1372511101_409430379_2_0_0&sr_pri_blocks=1372511101_409430379_2_0_0__1222200&from=searchresults,12222,,,Chitra,6.4,One-Bedroom Apartment,1 double bed,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/655180205.webp?k=f4a852b30c703777669d452d86ffac6801ae3bd31e42a56c9d946abfde5479d8&o=,3,Bagh
MT house,https://www.booking.com/hotel/pk/mt-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1661010801_437993540_9_0_0&highlighted_blocks=1661010801_437993540_9_0_0&matching_block_id=1661010801_437993540_9_0_0&sr_pri_blocks=1661010801_437993540_9_0_0__1520000&from=searchresults,15200,,,Rāwala Kot,13.7,One-Bedroom House,"6 beds (2 singles, 2 doubles, 2 large doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/879692103.webp?k=c127bed8a339279af33659d2457427cd7d811c2f78ef7f11b5b0522fa19d37aa&o=,5,Bagh
Sardar house,https://www.booking.com/hotel/pk/sardar-house-rawalakot.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTUzNDhICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKWmcLTBsACAdICJGNkZTE1ZjcwLTczMzAtNGM4OC05ZWQxLTM4OTMwZDJiYzRkM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755348&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=44c2594b838403ad&srepoch=1785760921&all_sr_blocks=1477030401_419716471_2_1_0&highlighted_blocks=1477030401_419716471_2_1_0&matching_block_id=1477030401_419716471_2_1_0&sr_pri_blocks=1477030401_419716471_2_1_0__3000000&from=searchresults,30000,,,Rāwala Kot,15.7,Double Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/732088248.webp?k=4319306d74fc38addc4182b7059e2e4055238fce639cc0615ff00f8442803757&o=,4,Bagh
