property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Etihad Club by Faletti's Hotel,https://www.booking.com/hotel/pk/etihad-club-rahimyar-khan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=617493501_241145525_2_1_0&highlighted_blocks=617493501_241145525_2_1_0&matching_block_id=617493501_241145525_2_1_0&sr_pri_blocks=617493501_241145525_2_1_0__1450000&from=searchresults,14500,7.8,99.0,Rahimyar Khan,19.0,Deluxe Queen Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/645328258.webp?k=819da0723a4787ded0f1eef35f40f90f0d2fec8f5e91cdd0354178bbb4a956d5&o=,12,Sadiqabad
Stillers Residency,https://www.booking.com/hotel/pk/stillers-residency-rahim-yar-khan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=1655104501_437439028_3_2_0&highlighted_blocks=1655104501_437439028_3_2_0&matching_block_id=1655104501_437439028_3_2_0&sr_pri_blocks=1655104501_437439028_3_2_0__1000000&from=searchresults,10000,9.1,8.0,Rahimyar Khan,15.2,Twin Room,2 single beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/874882043.webp?k=c7ef19312ec4f925cfbc085dfb714308074e8a7bc9fc20358cfcf5fa1cf70b0a&o=,13,Sadiqabad
Hotel One Rahim Yar Khan Club Road,https://www.booking.com/hotel/pk/one-rahim-yar-khan-club-road.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=553781302_0_2_1_0&highlighted_blocks=553781302_0_2_1_0&matching_block_id=553781302_0_2_1_0&sr_pri_blocks=553781302_0_2_1_0__1534174&from=searchresults,15342,8.8,163.0,Rahimyar Khan,22.6,Deluxe Twin Room,2 single beds,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/216506068.webp?k=f88c2db7963849f3bc1df473f26da9aee35f41a0050a031a858ea6ead30fc4ff&o=,8,Sadiqabad
Golden Sand Hotel Rahim Yar Khan,https://www.booking.com/hotel/pk/golden-sand.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=731333204_332717286_2_1_0&highlighted_blocks=731333204_332717286_2_1_0&matching_block_id=731333204_332717286_2_1_0&sr_pri_blocks=731333204_332717286_2_1_0__1050000&from=searchresults,10500,7.0,68.0,Rahimyar Khan,22.8,Double Room,1 large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/298786769.webp?k=e670fa7a414d6032ebc18dfc5902f3695f73ae02d0d1fec6692630b0f7711a66&o=,10,Sadiqabad
Wali Rest House 1,https://www.booking.com/hotel/pk/double-bed-room-rahim-yar-khan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=1586702001_429787176_2_0_0&highlighted_blocks=1586702001_429787176_2_0_0&matching_block_id=1586702001_429787176_2_0_0&sr_pri_blocks=1586702001_429787176_2_0_0__500000&from=searchresults,5000,8.6,6.0,Rahimyar Khan,22.9,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/827178387.webp?k=ea1b0e9d6194770d8382a8aa986c10d282ef71209b59ed340e24feb827174952&o=,4,Sadiqabad
Royal Desert Palm Hotel,https://www.booking.com/hotel/pk/royal-desert-palm-rahim-yar-khan1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=1672257701_438990879_2_41_0&highlighted_blocks=1672257701_438990879_2_41_0&matching_block_id=1672257701_438990879_2_41_0&sr_pri_blocks=1672257701_438990879_2_41_0__1084600&from=searchresults,10846,,,Rahimyar Khan,22.8,Deluxe Double Room (2 Adults + 1 Child),1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/886614771.webp?k=7d859bbd02abb3a3795355638e319ed53b76fbae6e277fa6fec68a3e0e883bb6&o=,10,Sadiqabad
A well furnished room in apartment,https://www.booking.com/hotel/pk/a-well-furnished-room-in-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI5MzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK5kMLTBsACAdICJGY1YzYwZDc4LTUxNjgtNGU4Mi1iNzdkLTE0MGY2YTkwNTYzNNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772932&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b230571c86b20100&srepoch=1785759805&all_sr_blocks=1460340701_417332423_2_0_0&highlighted_blocks=1460340701_417332423_2_0_0&matching_block_id=1460340701_417332423_2_0_0&sr_pri_blocks=1460340701_417332423_2_0_0__540000&from=searchresults,5400,,,Rahimyar Khan,22.9,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/716473666.webp?k=0a197cbc723817140dd89699ec77e2595b67dd44b804ee5f53ab9ea7af2313a6&o=,4,Sadiqabad
