property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
My Best House,https://www.booking.com/hotel/pk/my-best-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=853&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1680496001_439807754_2_2_0&highlighted_blocks=1680496001_439807754_2_2_0&matching_block_id=1680496001_439807754_2_2_0&sr_pri_blocks=1680496001_439807754_2_2_0__644373&from=searchresults,6444,,,Islamabad,15.1,Two-Bedroom Apartment,"4 beds (1 single, 2 doubles, 1 extra-large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/891177172.webp?k=483eab2fb5d9bfb061b0ab0206caa07b61630a23ed22851f3f1ce3ea81813f05&o=,5,Islamabad
Centaurus Signature Serviced Apartments - LMY Islamabad,https://www.booking.com/hotel/pk/yusbakb.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=854&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1632133802_433721180_2_1_0&highlighted_blocks=1632133802_433721180_2_1_0&matching_block_id=1632133802_433721180_2_1_0&sr_pri_blocks=1632133802_433721180_2_1_0__4320000&from=searchresults,43200,10,1.0,"Blue Area, Islamabad",4.9,Deluxe King Studio,1 double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/893991545.webp?k=1e1d61ed0da37f2d2200d177c6ec614b26f19563a269c2801df20fdaa54bc69f&o=,12,Islamabad
Pearl Luxury 1 Bedroom Apartment Pool & Gym,https://www.booking.com/hotel/pk/pearl-luxury-1-bedroom-apartment-pool-amp-gym.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=855&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1695691601_441239876_3_0_0&highlighted_blocks=1695691601_441239876_3_0_0&matching_block_id=1695691601_441239876_3_0_0&sr_pri_blocks=1695691601_441239876_3_0_0__743750&from=searchresults,7438,,,Islamabad,20.5,One-Bedroom Apartment,1 extra-large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/899980722.webp?k=ed2b915b59099efd9f82ecc0bcf1d0ec7cf8c6c52e2bbb448ca7769c8541dad2&o=,4,Islamabad
Cozy 1BKH Luxury Apartment,https://www.booking.com/hotel/pk/cozy-1bkh-luxury-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=856&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1489601301_420615323_0_0_0&highlighted_blocks=1489601301_420615323_0_0_0&matching_block_id=1489601301_420615323_0_0_0&sr_pri_blocks=1489601301_420615323_0_0_0__715000&from=searchresults,7150,5.0,4.0,Islamabad,14.5,One-Bedroom Apartment,"3 beds (1 double, 1 sofa bed, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/762870340.webp?k=46fbaf600b6fbc005fb31cf699e7970884f267abdbde7f9ee63d4c3592a8d55d&o=,4,Islamabad
Private Suite with Private entrance - self check-in f-8 - private parking,https://www.booking.com/hotel/pk/private-suite-with-private-entrance-self-check-in-f-8-private-parking.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=857&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1620417901_432863631_2_1_0&highlighted_blocks=1620417901_432863631_2_1_0&matching_block_id=1620417901_432863631_2_1_0&sr_pri_blocks=1620417901_432863631_2_1_0__1550000&from=searchresults,15500,,,Islamabad,6.1,Superior Family Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/855586132.webp?k=ba6750e1ed4f1a5dde5ae2aa974165b49dddc9460f19a97dbf23ba9dfbd8e55b&o=,4,Islamabad
Oasis Living,https://www.booking.com/hotel/pk/oasis-living-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=858&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1595217101_430554376_2_1_0&highlighted_blocks=1595217101_430554376_2_1_0&matching_block_id=1595217101_430554376_2_1_0&sr_pri_blocks=1595217101_430554376_2_1_0__1020000&from=searchresults,10200,,,Islamabad,28.1,Two-Bedroom Apartment,"3 beds (2 singles, 1 large double)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/833202782.webp?k=138b09a7ef71228df0aae01731b4b76ac1d6635a9be86daa6280dfca1d05952f&o=,5,Islamabad
Four Season Guest House,https://www.booking.com/hotel/pk/four-season-guest-house-islamabad4.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=859&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1472458002_418590518_4_2_0&highlighted_blocks=1472458002_418590518_4_2_0&matching_block_id=1472458002_418590518_4_2_0&sr_pri_blocks=1472458002_418590518_4_2_0__700000&from=searchresults,7000,9.1,17.0,Islamabad,19.4,Economy Twin Room,"3 beds (1 extra-large double, 1 sofa bed, 1 futon)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/865889832.webp?k=5efc8a7f2fc30220f7fce1061ec28f180228833afd3b67f3ec87a96ed0aefb20&o=,14,Islamabad
Studio Appartment for Couples and Family,https://www.booking.com/hotel/pk/studio-appartment-for-couples-and-family.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=860&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1636137201_434003405_2_0_0&highlighted_blocks=1636137201_434003405_2_0_0&matching_block_id=1636137201_434003405_2_0_0&sr_pri_blocks=1636137201_434003405_2_0_0__560000&from=searchresults,5600,9.0,1.0,Islamabad,25.0,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/864754474.webp?k=df321650ea91afa46a05ff629f397452fc46bb5ef92aea386b240c6b472670d0&o=,5,Islamabad
Revere Inn Family Guest House Islamabad,https://www.booking.com/hotel/pk/revere-inn-family-guest-house-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=861&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759178&all_sr_blocks=1460802901_417379530_2_1_0&highlighted_blocks=1460802901_417379530_2_1_0&matching_block_id=1460802901_417379530_2_1_0&sr_pri_blocks=1460802901_417379530_2_1_0__1035000&from=searchresults,10350,10,1.0,"E-11 Sector, Islamabad",12.0,Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/717016469.webp?k=445eec364b38e9eeec348825419f963982b73cf7b1079dcbd49c38588e3ab504&o=,4,Islamabad
Royal Regency Hotel,https://www.booking.com/hotel/pk/royal-regency.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=862&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759186&all_sr_blocks=936687902_414535903_0_41_0&highlighted_blocks=936687902_414535903_0_41_0&matching_block_id=936687902_414535903_0_41_0&sr_pri_blocks=936687902_414535903_0_41_0__1800000&from=searchresults,18000,8.1,54.0,"F-6 Sector, Islamabad",1.0,Superior King Room,1 extra-large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/413265784.webp?k=18d16f71a92bf5251edd0e2d1081c3f5b57f7a4f34dcee42e6bab934509de10e&o=,12,Islamabad
