property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Chitral Inn Resort (Kalash Valley),https://www.booking.com/hotel/pk/chitral-inn-resort-kalash-valley.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=800669808_341274729_2_42_0&highlighted_blocks=800669808_341274729_2_42_0&matching_block_id=800669808_341274729_2_42_0&sr_pri_blocks=800669808_341274729_2_42_0__1215000&from=searchresults,12150,9.0,1.0,Chitral,20.5,Family Room with Garden View,"2 beds (1 single, 1 double)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/571133677.webp?k=f138adacf4b567e9e079cd35c3966654fdf26322755437571a0d6310dcad4327&o=,6,Chitral
Comfort Inn,https://www.booking.com/hotel/pk/comfort-inn-chitral.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=1418123902_434153542_1_42_0%2C1418123902_434153542_1_42_0&highlighted_blocks=1418123902_434153542_1_42_0%2C1418123902_434153542_1_42_0&matching_block_id=1418123902_434153542_1_42_0&sr_pri_blocks=1418123902_434153542_1_42_0__850000%2C1418123902_434153542_1_42_0__850000&from=searchresults,17000,10,1.0,Chitral,3.4,Single Room with Private Bathroom,Choice of beds: singles or sofa bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/865966839.webp?k=a23ce8cfd245d6c22c2cc064cbc00bdaeb21930e0a87eaf173c8ac691f96ac32&o=,4,Chitral
WindyCrest Inn,https://www.booking.com/hotel/pk/windycrest-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=1416989101_416221430_2_0_0&highlighted_blocks=1416989101_416221430_2_0_0&matching_block_id=1416989101_416221430_2_0_0&sr_pri_blocks=1416989101_416221430_2_0_0__600000&from=searchresults,6000,,,Chitral,8.4,Double Room with Garden View,"2 beds (1 single, 1 double)",0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/684080312.webp?k=6a643035637bdec5d58f905e9b000cf3ae8c77a77c6327cf8acad98602ded7be&o=,3,Chitral
fish lake park guest house,https://www.booking.com/hotel/pk/fish-lake-park-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=1695106201_441173013_2_1_0&highlighted_blocks=1695106201_441173013_2_1_0&matching_block_id=1695106201_441173013_2_1_0&sr_pri_blocks=1695106201_441173013_2_1_0__680000&from=searchresults,6800,,,Chitral,2.8,Double Room with Lake View,"5 beds (2 singles, 1 sofa bed, 2 large doubles)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900603554.webp?k=b955f66d9b342eb61c9e9a80dead5e995b63a9cfdd429c29207f1fc347d9839a&o=,5,Chitral
Tourist Guest House,https://www.booking.com/hotel/pk/tourist-guest-house-batrik-kalash-valley-bamboret-chitral.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=896308302_426577981_3_0_0&highlighted_blocks=896308302_426577981_3_0_0&matching_block_id=896308302_426577981_3_0_0&sr_pri_blocks=896308302_426577981_3_0_0__1500000&from=searchresults,15000,8.0,4.0,Anīahgrām,18.9,Deluxe Triple Room,3 single beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/385804656.webp?k=6fba02a3c3db8915c3fa1f54fcc252e190aa8f1a37af0e4227f56aadbad384e9&o=,9,Chitral
Siwakhat Huts,https://www.booking.com/hotel/pk/siwakhat-huts.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTgzMDNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKel8LTBsACAdICJGU3ZWI2Mjk2LTFhMjktNDMxYS1iZDViLWU5MjNiNzNjZGNlOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2758303&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=00a558cf918e02d7&srepoch=1785760677&all_sr_blocks=961892102_368798778_3_2_0&highlighted_blocks=961892102_368798778_3_2_0&matching_block_id=961892102_368798778_3_2_0&sr_pri_blocks=961892102_368798778_3_2_0__300000&from=searchresults,3000,,,Shoghot,21.0,Economy Double Room,"2 beds (1 single, 1 double)",0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/428836342.webp?k=c40e8803798979762cfe73a43377daeddfc2ad05996d9b503eacb7d56840f65d&o=,3,Chitral
