property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Beauty of abbottabad,https://www.booking.com/hotel/pk/beauty-of-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1493987701_421060818_0_0_0&highlighted_blocks=1493987701_421060818_0_0_0&matching_block_id=1493987701_421060818_0_0_0&sr_pri_blocks=1493987701_421060818_0_0_0__700000&from=searchresults,7000,,,Abbottābād,9.5,Two-Bedroom House,"5 beds (2 singles, 1 double, 2 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/747368378.webp?k=cfadd15403da7fb0161456fafc686242b3933c3637ffffbe32db08bff8b465ce&o=,4,Mansehra
Hotel One Abbottabad,https://www.booking.com/hotel/pk/one-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=176096901_413713814_2_1_0&highlighted_blocks=176096901_413713814_2_1_0&matching_block_id=176096901_413713814_2_1_0&sr_pri_blocks=176096901_413713814_2_1_0__1600000&from=searchresults,16000,8.5,125.0,Abbottābād,13.7,Deluxe Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/239879868.webp?k=43d218009bbb1326f2d37e5a8d8a982c07b250e7c037affebb5959131f5260f9&o=,13,Mansehra
Batrasi Dak Bungalow,https://www.booking.com/hotel/pk/batrasi-dak-bungalow.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1193926303_395643162_2_2_0&highlighted_blocks=1193926303_395643162_2_2_0&matching_block_id=1193926303_395643162_2_2_0&sr_pri_blocks=1193926303_395643162_2_2_0__600000&from=searchresults,6000,7.9,18.0,Uttar Shisha,12.9,One-Bedroom Bungalow,"4 beds (2 singles, 2 sofa beds)",0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/550356066.webp?k=4b1b2f7cdcf21fae207233e901b470331abc6fcc1c326ecd11441a8988e83842&o=,3,Mansehra
Abbott royale farm,https://www.booking.com/hotel/pk/abbott-royale-farm-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1610297201_431934532_2_2_0&highlighted_blocks=1610297201_431934532_2_2_0&matching_block_id=1610297201_431934532_2_2_0&sr_pri_blocks=1610297201_431934532_2_2_0__700000&from=searchresults,7000,,,Abbottābād,12.4,Double Room with Mountain View,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/846160097.webp?k=8d93224399d823095ba15c623e543d227d391b4996cead64fe9273bdb3cd229a&o=,4,Mansehra
Comfort Suites Lara Gora,https://www.booking.com/hotel/pk/comfort-suites-lara-gora.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1441602801_415603799_2_42_0&highlighted_blocks=1441602801_415603799_2_42_0&matching_block_id=1441602801_415603799_2_42_0&sr_pri_blocks=1441602801_415603799_2_42_0__1167674&from=searchresults,11677,,,Lunda,10.4,Double Room with Mountain View,1 extra-large double bed,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/700529414.webp?k=c3efeeafa21676bc40212d125b546765011957a3002a288a43c0cdff1661e94b&o=,2,Mansehra
The Canvas Hotel,https://www.booking.com/hotel/pk/the-canvas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1614793503_432360078_2_1_0&highlighted_blocks=1614793503_432360078_2_1_0&matching_block_id=1614793503_432360078_2_1_0&sr_pri_blocks=1614793503_432360078_2_1_0__499900&from=searchresults,4999,8.8,34.0,Abbottābād,15.2,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/855054379.webp?k=e22fced6f37471b17774d25bee45a167cf8e8509b99c85d8f9c0cd11ec20789f&o=,11,Mansehra
Sarai Abbottabad,https://www.booking.com/hotel/pk/sarai-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1445022106_415912797_2_1_0&highlighted_blocks=1445022106_415912797_2_1_0&matching_block_id=1445022106_415912797_2_1_0&sr_pri_blocks=1445022106_415912797_2_1_0__570000&from=searchresults,5700,8.8,77.0,Abbottābād,15.7,Deluxe Double or Twin Room,"3 beds (2 singles, 1 sofa bed)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/732212106.webp?k=c2c1c8536efe38e30967edc216faf1e8e85a666fc20a46896976c2697ba6cac7&o=,11,Mansehra
Stargaze Hotel & Apartment,https://www.booking.com/hotel/pk/stargaze-amp-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=192430121_224257344_0_0_0&highlighted_blocks=192430121_224257344_0_0_0&matching_block_id=192430121_224257344_0_0_0&sr_pri_blocks=192430121_224257344_0_0_0__350000&from=searchresults,3500,7.4,61.0,Abbottābād,19.9,Standard Twin Room,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/92437560.webp?k=a70b22864b01087f6527a96e9c916257989afe8e26b6b1af0f33420bdf7285c1&o=,10,Mansehra
City Hotel,https://www.booking.com/hotel/pk/city-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1571523002_428222722_2_1_0&highlighted_blocks=1571523002_428222722_2_1_0&matching_block_id=1571523002_428222722_2_1_0&sr_pri_blocks=1571523002_428222722_2_1_0__1000000&from=searchresults,10000,9.3,25.0,Abbottābād,17.9,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/874865583.webp?k=e0df906da28cb4452dcc2c84061903888a807da5ede9678c9ce7e10778aaf12a&o=,10,Mansehra
Republika Urban Hotel by Summit Resorts,https://www.booking.com/hotel/pk/republika-by-summit-resorts.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=950585001_367692689_3_1_0&highlighted_blocks=950585001_367692689_3_1_0&matching_block_id=950585001_367692689_3_1_0&sr_pri_blocks=950585001_367692689_3_1_0__726513&from=searchresults,7265,8.4,163.0,Abbottābād,15.3,Standard Double Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/458173950.webp?k=ef70afeaff0337781630c4eb3611769488cbbc333e14194af26be7f22b0b8f1c&o=,9,Mansehra
